Phantom,Source Organ ID,Source Organ Name,Source Type,Source Energy (MeV),Target Organ ID,Target Organ Name,Target Organ Mass (g),Dose (Gy/source),SAF (kg^-1),Relative Error,Statistical Uncertainty (%)
Adult Female,9500,Liver,photon,10.0,100,Adrenal_left,6.816533157607499,4.5952e-14,0.028680982498963885,0.3476,34.760000000000005
Adult Female,9500,Liver,photon,10.0,200,Adrenal_right,8.6485539778965,5.3825e-14,0.03359492259328715,0.3602,36.02
Adult Female,9500,Liver,photon,10.0,300,ET1_0~8 um,0.008564642369599999,0.0,0.0,0.0,0.0
Adult Female,9500,Liver,photon,10.0,301,ET1_8~40 um,0.0345508806604,0.0,0.0,0.0,0.0
Adult Female,9500,Liver,photon,10.0,302,ET1_40~50 um,0.0108931829849,0.0,0.0,0.0,0.0
Adult Female,9500,Liver,photon,10.0,303,ET1_50 um~surface,4.3745788372289995,0.0,0.0,0.0,0.0
Adult Female,9500,Liver,photon,10.0,400,ET2_-15~0 um,0.1041581236,0.0,0.0,0.0,0.0
Adult Female,9500,Liver,photon,10.0,401,ET2_0~40 um,0.2878573922153,0.0,0.0,0.0,0.0
Adult Female,9500,Liver,photon,10.0,402,ET2_40~50 um,0.0723068189581,0.0,0.0,0.0,0.0
Adult Female,9500,Liver,photon,10.0,403,ET2_50~55 um,0.036231674080899993,0.0,0.0,0.0,0.0
Adult Female,9500,Liver,photon,10.0,404,ET2_55~65 um,0.0724804463689,0.0,0.0,0.0,0.0
Adult Female,9500,Liver,photon,10.0,405,ET2_65 um~surface,14.1803310228681,2.1223e-16,0.00013246354708728903,0.7302,73.02
Adult Female,9500,Liver,photon,10.0,500,Oral mucosa_tongue,0.06614430711,0.0,0.0,0.0,0.0
Adult Female,9500,Liver,photon,10.0,501,Oral mucosa_mouth floor,0.016117579485000002,0.0,0.0,0.0,0.0
Adult Female,9500,Liver,photon,10.0,600,Oral mucosa_lips_and cheeks,0.01882475847,0.0,0.0,0.0,0.0
Adult Female,9500,Liver,photon,10.0,700,Trachea,8.2011228190332,1.0079e-15,0.0006290816996149395,0.5401,54.010000000000005
Adult Female,9500,Liver,photon,10.0,800,BB1_-11~-6 um,0.0102339567,0.0,0.0,0.0,0.0
Adult Female,9500,Liver,photon,10.0,801,BB1_-6~0 um,0.0126340007099,0.0,0.0,0.0,0.0
Adult Female,9500,Liver,photon,10.0,802,BB1_0~10 um,0.021103041026999995,0.0,0.0,0.0,0.0
Adult Female,9500,Liver,photon,10.0,803,BB1_10~35 um,0.0530281593402,0.0,0.0,0.0,0.0
Adult Female,9500,Liver,photon,10.0,804,BB1_35~40 um,0.0106508082879,0.0,0.0,0.0,0.0
Adult Female,9500,Liver,photon,10.0,805,BB1_40~50 um,0.0213479049704,0.0,0.0,0.0,0.0
Adult Female,9500,Liver,photon,10.0,806,BB1_50~60 um,0.021410071177399997,0.0,0.0,0.0,0.0
Adult Female,9500,Liver,photon,10.0,807,BB1_60~70 um,0.021469763396799995,0.0,0.0,0.0,0.0
Adult Female,9500,Liver,photon,10.0,808,BB1_70 um~surface,1.1790086138983997,7.9092e-16,0.0004936534357172814,1.0,100.0
Adult Female,9500,Liver,photon,10.0,900,Blood in large arteries_head,1.9091482903680002,4.5946e-15,0.0028677237593519207,1.0,100.0
Adult Female,9500,Liver,photon,10.0,910,Blood in large veins_head,3.007187520752,8.9652e-15,0.0055956377154359116,0.8969,89.69
Adult Female,9500,Liver,photon,10.0,1000,Blood in large arteries_trunk,117.869628099162,8.6979e-15,0.005428802177875565,0.1781,17.810000000000002
Adult Female,9500,Liver,photon,10.0,1010,Blood in large veins_trunk,239.82989774452201,4.1347e-15,0.0025806767570174523,0.1823,18.23
Adult Female,9500,Liver,photon,10.0,1100,Blood in large arteries_arms,46.31410216207,3.7535e-15,0.002342750431098993,0.3119,31.19
Adult Female,9500,Liver,photon,10.0,1110,Blood in large veins_arms,139.490855302932,5.5203e-15,0.0034455002543747897,0.1988,19.88
Adult Female,9500,Liver,photon,10.0,1200,Blood in large arteries_legs,79.907024651942,9.3827e-16,0.0005856220719294665,0.8782,87.82
Adult Female,9500,Liver,photon,10.0,1210,Blood in large veins_legs,355.63285595694,2.27e-16,0.00014168225599026814,0.7482,74.82
Adult Female,9500,Liver,photon,10.0,1300,Humeri_upper_cortical,113.67742485534399,1.8722e-15,0.0011685353289206167,0.3872,38.72
Adult Female,9500,Liver,photon,10.0,1400,Humeri_upper_spongiosa,107.7174852567555,1.5429e-15,0.0009630024350986111,0.4418,44.18
Adult Female,9500,Liver,photon,10.0,1500,Humeri_upper_medullary cavity,20.5162348740678,1.2232e-15,0.000763461389988088,0.7343,73.42999999999999
Adult Female,9500,Liver,photon,10.0,1600,Humeri_lower_cortical,103.29962511825599,6.4812e-15,0.004045246861339761,0.2489,24.89
Adult Female,9500,Liver,photon,10.0,1700,Humeri_lower_spongiosa,50.2641017933803,4.5706e-15,0.0028527441375732136,0.4206,42.059999999999995
Adult Female,9500,Liver,photon,10.0,1800,Humeri_lower_medullary cavity,20.4928214867622,6.7041e-15,0.0041843700986095005,0.5013,50.129999999999995
Adult Female,9500,Liver,photon,10.0,1900,Ulnae and radii_cortical,156.7082606462912,1.9603e-15,0.0012235230238666194,0.3212,32.12
Adult Female,9500,Liver,photon,10.0,2000,Ulnae and radii_spongiosa,86.8827639994528,3.0045e-15,0.0018752614014218528,0.4902,49.02
Adult Female,9500,Liver,photon,10.0,2100,Ulnae and radii_medullary cavity,34.068200674068905,2.6309e-15,0.0016420786223999841,0.5349,53.49
Adult Female,9500,Liver,photon,10.0,2200,Wrists and hand bones_cortical,105.1315483431696,1.4759e-15,0.0009211843242997213,0.4832,48.32
