[ T-Deposit ]
    title = [t-deposit] in region mesh
     mesh =  reg            # mesh type is region-wise
      reg = all
   volume                   # combined, lattice or level structure 
   non     reg      vol     # reg definition
    1        1   1.0000E+00 # 1
    2        3   1.0000E+00 # 3
    3        4   1.0000E+00 # 4
    4      100   6.5860E+00 # 100
    5      200   8.3561E+00 # 200
    6      300   8.3071E-03 # 300
    7      301   3.3512E-02 # 301
    8      302   1.0566E-02 # 302
    9      303   4.2430E+00 # 303
   10      400   1.0416E-01 # 400
   11      401   2.7920E-01 # 401
   12      402   7.0133E-02 # 402
   13      403   3.5142E-02 # 403
   14      404   7.0301E-02 # 404
   15      405   1.3754E+01 # 405
   16      500   6.2995E-02 # 500
   17      501   1.5350E-02 # 501
   18      600   1.7928E-02 # 600
   19      700   7.9545E+00 # 700
   20      800   1.0234E-02 # 800
   21      801   1.2254E-02 # 801
   22      802   2.0469E-02 # 802
   23      803   5.1434E-02 # 803
   24      804   1.0331E-02 # 804
   25      805   2.0706E-02 # 805
   26      806   2.0766E-02 # 806
   27      807   2.0824E-02 # 807
   28      808   1.1436E+00 # 808
   29      900   1.8011E+00 # 900
   30      910   2.8370E+00 # 910
   31     1000   1.1120E+02 # 1000
   32     1010   2.2625E+02 # 1010
   33     1100   4.3693E+01 # 1100
   34     1110   1.3160E+02 # 1110
   35     1200   7.5384E+01 # 1200
   36     1210   3.3550E+02 # 1210
   37     1300   5.9705E+01 # 1300
   38     1400   9.0901E+01 # 1400
   39     1500   2.0914E+01 # 1500
   40     1600   5.4254E+01 # 1600
   41     1700   4.4999E+01 # 1700
   42     1800   2.0890E+01 # 1800
   43     1900   8.2305E+01 # 1900
   44     2000   7.7782E+01 # 2000
   45     2100   3.4728E+01 # 2100
   46     2200   5.5216E+01 # 2200
   47     2300   6.2095E+01 # 2300
   48     2400   1.7240E+01 # 2400
   49     2500   3.2549E+01 # 2500
   50     2600   2.1411E+02 # 2600
   51     2700   3.1255E+02 # 2700
   52     2800   1.2822E+02 # 2800
   53     2900   2.2257E+02 # 2900
   54     3000   4.0282E+01 # 3000
   55     3100   1.2654E+02 # 3100
   56     3200   1.4891E+02 # 3200
   57     3300   5.7861E+01 # 3300
   58     3400   2.8616E+02 # 3400
   59     3500   5.0003E+02 # 3500
   60     3600   9.0605E+01 # 3600
   61     3700   9.1111E+01 # 3700
   62     3800   2.3048E+02 # 3800
   63     3900   2.3841E+01 # 3900
   64     4000   2.8157E+01 # 4000
   65     4100   1.3784E+02 # 4100
   66     4200   4.1231E+02 # 4200
   67     4300   8.6396E+01 # 4300
   68     4400   2.5513E+02 # 4400
   69     4500   6.3899E+01 # 4500
   70     4600   8.5982E+01 # 4600
   71     4700   3.7603E+01 # 4700
   72     4800   6.6963E+01 # 4800
   73     4900   1.0810E+02 # 4900
   74     5000   2.5177E+02 # 5000
   75     5100   8.2025E+01 # 5100
   76     5200   2.2745E+02 # 5200
   77     5300   4.2143E+01 # 5300
   78     5400   1.4719E+02 # 5400
   79     5500   8.8513E-01 # 5500
   80     5600   4.7854E+01 # 5600
   81     5700   3.8179E+01 # 5700
   82     5800   6.3103E+01 # 5800
   83     6100   1.2964E+03 # 6100
   84     6200   1.6141E+02 # 6200
   85     6300   1.0038E+02 # 6300
   86     6400   1.6141E+02 # 6400
   87     6500   1.0038E+02 # 6500
   88     6600   3.6688E-02 # 6600
   89     6601   1.7856E-01 # 6601
   90     6700   1.0121E+00 # 6700
   91     6701   3.0007E-01 # 6701
   92     6702   5.9379E+00 # 6702
   93     6800   3.6688E-02 # 6800
   94     6801   1.7856E-01 # 6801
   95     6900   1.0121E+00 # 6900
   96     6901   3.0007E-01 # 6901
   97     6902   5.9379E+00 # 6902
   98     7000   7.9545E+00 # 7000
   99     7100   4.6602E+01 # 7100
  100     7200   1.5067E+00 # 7200
  101     7201   1.0075E+00 # 7201
  102     7202   5.0735E+00 # 7202
  103     7203   1.5928E+02 # 7203
  104     7300   2.2115E+02 # 7300
  105     7400   1.1912E+01 # 7400
  106     7401   1.8549E+00 # 7401
  107     7402   4.6631E+00 # 7402
  108     7403   7.1106E+02 # 7403
  109     7500   4.3487E+01 # 7500
  110     7501   2.2574E+02 # 7501
  111     7600   4.2962E+00 # 7600
  112     7601   3.1071E-01 # 7601
  113     7602   1.0404E+02 # 7602
  114     7700   9.6161E+01 # 7700
  115     7800   3.5523E+00 # 7800
  116     7801   2.5706E-01 # 7801
  117     7802   6.2594E+01 # 7802
  118     7900   5.7687E+01 # 7900
  119     8000   2.1197E+00 # 8000
  120     8001   1.5444E-01 # 8001
  121     8002   6.4120E+01 # 8002
  122     8100   2.8851E+01 # 8100
  123     8200   2.9158E+00 # 8200
  124     8201   2.1191E-01 # 8201
  125     8202   1.0552E+02 # 8202
  126     8300   4.8080E+01 # 8300
  127     8400   4.0753E+00 # 8400
  128     8401   2.9530E-01 # 8401
  129     8402   4.9962E+01 # 8402
  130     8500   7.6916E+01 # 8500
  131     8600   3.0181E+01 # 8600
  132     8700   2.7677E+02 # 8700
  133     8800   3.4906E+02 # 8800
  134     8900   1.4172E+02 # 8900
  135     9000   3.5590E+01 # 9000
  136     9100   7.1238E+00 # 9100
  137     9200   1.1896E+02 # 9200
  138     9300   2.9886E+01 # 9300
  139     9400   5.9810E+00 # 9400
  140     9500   1.7075E+03 # 9500
  141     9700   1.0345E+03 # 9700
  142     9900   1.2652E+03 # 9900
  143    10000   1.2302E+01 # 10000
  144    10100   1.2302E+01 # 10100
  145    10200   4.2497E+00 # 10200
  146    10300   1.0043E+02 # 10300
  147    10400   8.4995E+00 # 10400
  148    10500   8.4994E+00 # 10500
  149    10600   4.2383E+02 # 10600
  150    10700   7.9284E+03 # 10700
  151    10800   1.4094E+03 # 10800
  152    10900   7.3112E+03 # 10900
  153    11000   1.8060E+00 # 11000
  154    11001   9.7121E-02 # 11001
  155    11002   3.9813E+01 # 11002
  156    11003   2.0423E+01 # 11003
  157    11100   6.0117E+00 # 11100
  158    11200   6.0117E+00 # 11200
  159    11300   1.3859E+02 # 11300
  160    11400   5.9659E-01 # 11400
  161    11600   8.9275E+02 # 11600
  162    11700   1.2171E+04 # 11700
  163    11800   2.2955E+03 # 11800
  164    11900   8.2410E+03 # 11900
  165    12000   3.4801E+01 # 12000
  166    12100   3.4801E+01 # 12100
  167    12200   1.4300E+02 # 12200
  168    12201   5.8129E+00 # 12201
  169    12300   8.0106E+02 # 12300
  170    12301   2.9750E+01 # 12301
  171    12400   3.5015E+02 # 12400
  172    12401   1.4338E+01 # 12401
  173    12500   8.4983E+02 # 12500
  174    12501   3.2192E+01 # 12501
  175    12600   1.8524E+01 # 12600
  176    12700   1.7679E+02 # 12700
  177    12800   1.5079E+01 # 12800
  178    12801   3.4700E-02 # 12801
  179    13100   1.9886E+01 # 13100
  180    13200   1.8511E+01 # 13200
  181    13300   1.9995E+01 # 13300
  182    13301   3.8491E+01 # 13301
  183    13400   2.9829E+00 # 13400
  184    13500   7.4574E+00 # 13500
  185    13600   7.4574E+00 # 13600
  186    13700   3.7941E+01 # 13700
  187    13701   1.2937E+00 # 13701
  188    13800   1.9231E+02 # 13800
  189    13900   8.0307E+01 # 13900
  190    14000   3.6006E+01 # 14000
     unit =    0            # unit is [Gy/source]
   letmat =    0            # (D=0) mat ID for LET, 0:real mat, <0: electron for H2O
  dedxfnc =    0            # (D=0) user defined multiplier, 0(no), 1, 2
 material =  all            # (D=all) number of specific material
   output =  dose           # total deposit energy
  deposit =    0            # (D=0) 0-> total deposit dist, 1-> each process
     axis =   reg           # axis of output
     file = phits_deposit_MRCP_AF_source_Brain_photon_energy_10.0.out  # file name of output for the above axis
     part =  all      
